Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
0,5,0,290.04,394.554,0,1
5,5,1,220.946,49.415,0,1
5,5,1,103.865,33.674,0,1
2,5,0,176.006,257.948,0,1
0,5,0,396.927,421.063,0,1
0,5,0,401.721,430.317,0,1
0,5,0,252.339,316.641,0,1
0,5,0,258.156,318.76,0,1
0,5,0,432.526,409.914,0,1
5,5,1,86.1713,43.7571,0,1
0,5,0,340.559,363.954,0,1
0,5,0,357.546,418.152,0,1
2,5,0,219.484,258.14,0,1
2,5,0,315.902,236.845,0,1
0,5,0,334.283,327.634,0,1
0,5,0,281.862,380.593,0,1
0,5,0,259.976,321.844,0,1
0,5,0,470.641,415.538,0,1
0,5,0,497.906,409.824,0,1
0,5,0,320.19,337.633,0,1
5,5,1,78.4128,120.186,0,1
0,5,0,440.418,474.016,0,1
0,5,0,482.963,485.345,0,1
0,5,0,242.944,352.18,0,1
0,5,0,389.705,378.147,0,1
0,5,0,269.046,331.836,0,1
0,5,0,431.222,437.404,0,1
0,5,0,322.968,295.394,0,1
0,5,0,387.341,390.603,0,1
0,5,0,431.904,428.837,0,1
0,5,0,307.517,361.871,0,1
0,5,0,363.4,343.461,0,1
0,5,0,445.427,392.712,0,1
0,5,0,491.986,487.059,0,1
5,5,1,70.0642,53.6744,0,1
0,5,0,522.263,476.426,0,1
0,5,0,466.873,482.541,0,1
0,5,0,281.047,315.365,0,1
0,5,0,320.625,424.405,0,1
0,5,0,427.459,435.898,0,1
5,5,1,137.841,122.217,0,1
0,5,0,518.928,482.794,0,1
0,5,0,455.297,469.88,0,1
2,2,1,107.012,93.2528,0,1
4,5,0,327.737,361.51,0,1
5,5,1,84.3472,44.8371,0,1
5,5,1,158.853,11.3677,0,1
0,5,0,388.943,372.956,0,1
0,5,0,507.401,484.383,0,1
0,5,0,371.822,387.047,0,1
0,5,0,312.82,329.209,0,1
1,5,0,308.637,368.008,0,1
0,5,0,471.112,483.109,0,1
2,5,0,267.945,253.794,0,1
0,5,0,353.569,355.966,0,1
0,5,0,344.515,344.003,0,1
0,5,0,425.72,434.969,0,1
0,5,0,291.476,394.861,0,1
0,5,0,332.758,327.647,0,1
2,5,0,227.056,223.052,0,1
0,5,0,260.176,306.578,0,1
2,5,0,353.874,306.732,0,1
0,5,0,264.213,314.087,0,1
1,5,0,227.209,298.6,0,1
0,5,0,276.181,307.232,0,1
0,5,0,424.035,436.198,0,1
2,5,0,312.008,295.698,0,1
5,5,1,80.6765,120.804,0,1
0,5,0,398.941,329.036,0,1
5,5,1,219.728,53.1917,0,1
0,5,0,469.537,482.805,0,1
0,5,0,417.62,423.299,0,1
4,5,0,226.774,306.534,0,1
0,5,0,407.226,402.448,0,1
0,5,0,336.767,358.93,0,1
0,5,0,360.48,414.654,0,1
0,5,0,281.552,380.882,0,1
0,5,0,263.785,310.844,0,1
0,5,0,467.308,457.897,0,1
5,5,1,216.867,62.1105,0,1
0,5,0,395.662,394.812,0,1
0,5,0,300.409,383.723,0,1
0,5,0,467.781,445.907,0,1
0,5,0,395.505,356.878,0,1
0,5,0,262.162,305.288,0,1
5,5,1,98.3306,36.7581,0,1
0,5,0,405.035,413.386,0,1
0,5,0,323.04,410.256,0,1
0,5,0,449.269,453.56,0,1
0,5,0,315.54,332.23,0,1
0,5,0,341.818,317.761,0,1
1,5,0,204.799,250.018,0,1
0,5,0,439.357,407.792,0,1
0,5,0,454.934,469.466,0,1
0,5,0,257.102,316.126,0,1
5,5,1,218.27,57.7263,0,1
0,5,0,407.341,345.916,0,1
0,5,0,282.611,328.494,0,1
4,5,0,196.228,236.356,0,1
0,5,0,282.943,384.508,0,1
2,5,0,178.599,256.378,0,1
4,5,0,59.4067,132.579,0,1
0,5,0,420.408,426.881,0,1
0,5,0,288.865,334.656,0,1
0,5,0,284.372,386.763,0,1
0,5,0,430.043,437.064,0,1
0,5,0,469.279,445.186,0,1
0,5,0,255.918,321.698,0,1
0,5,0,294.371,327.591,0,1
0,5,0,315.18,331.824,0,1
0,5,0,373.121,383.435,0,1
0,5,0,398.759,398.878,0,1
0,5,0,304.881,400.24,0,1
0,5,0,365.557,442.081,0,1
0,5,0,310.75,326.871,0,1
0,5,0,470.305,483.915,0,1
0,5,0,397.832,331.581,0,1
0,5,0,260.207,316.24,0,1
0,5,0,341.566,435.233,0,1
0,5,0,401.528,402.419,0,1
5,5,1,82.8379,45.7376,0,1
0,5,0,462.629,428.124,0,1
0,5,0,352.26,343.079,0,1
4,5,0,329.194,362.166,0,1
0,5,0,363.791,443.258,0,1
2,5,0,327.296,300.19,0,1
0,5,0,290.993,309.407,0,1
0,5,0,335.463,332.302,0,1
0,5,0,522.368,476.098,0,1
0,5,0,341.699,317.74,0,1
0,5,0,373.163,337.522,0,1
1,5,0,195.32,253.27,0,1
0,5,0,230.336,320.115,0,1
0,5,0,229.975,320.251,0,1
0,5,0,282.391,383.9,0,1
0,5,0,253.377,367.899,0,1
0,5,0,447.726,335.586,0,1
0,5,0,263.612,316.368,0,1
4,5,0,180.96,224.874,0,1
0,5,0,398.726,359.551,0,1
0,5,0,308.212,318.27,0,1
0,5,0,342.986,339.363,0,1
0,5,0,355.196,403.707,0,1
4,5,0,248.262,322.773,0,1
0,5,0,297.913,406.082,0,1
0,5,0,301.036,335.956,0,1
2,2,1,107.151,32.8847,0,1
5,5,1,212.032,77.3432,0,1
1,5,0,197.275,252.315,0,1
0,5,0,310.94,403.969,0,1
2,5,0,249.524,185.095,0,1
2,5,0,253.434,239.202,0,1
0,5,0,267.744,314.351,0,1
0,5,0,319.754,318.831,0,1
0,5,0,422.585,447.605,0,1
0,5,0,271.424,314.631,0,1
0,5,0,359.701,445.985,0,1
4,5,0,291.868,345.192,0,1
0,5,0,366.601,322.536,0,1
1,5,0,309.009,366.042,0,1
0,5,0,262.417,329.595,0,1
0,5,0,442.841,455.238,0,1
2,5,0,177.098,257.966,0,1
0,5,0,350.382,327.568,0,1
0,5,0,357.378,418.152,0,1
0,5,0,266.136,331.047,0,1
0,5,0,403.959,440.436,0,1
2,5,0,211.643,101.803,0,1
2,5,0,332.79,301.814,0,1
0,5,0,342.151,337.644,0,1
1,5,0,244.595,308.386,0,1
0,5,0,388.385,339.539,0,1
0,5,0,305.047,306.613,0,1
0,5,0,386.144,367.437,0,1
0,5,0,376.413,336.441,0,1
0,5,0,360.747,311.674,0,1
0,5,0,407.162,417.513,0,1
0,5,0,258.324,326.424,0,1
0,5,0,466.51,424.425,0,1
0,5,0,371.177,338.679,0,1
0,5,0,464.253,415.957,0,1
0,5,0,253.431,367.974,0,1
2,5,0,321.256,298.41,0,1
5,5,1,163.962,14.1638,0,1
5,5,1,139.588,15.6398,0,1
0,5,0,299.488,405.728,0,1
0,5,0,454.733,404.177,0,1
0,5,0,455.792,405.486,0,1
0,5,0,399.99,414.687,0,1
0,5,0,416.774,446.541,0,1
0,5,0,444.828,331.305,0,1
0,5,0,481.875,446.028,0,1
